Date,days of Production,[Sodium_bisulfite],[Bleaching agent ],Total_latex_collected
1/1/2004,1,4.5,1.1,923
1/2/2004,2,2.6,0.6,428
1/3/2004,3,1,0.3,204
1/4/2004,4,4.6,1.2,979
1/5/2004,5,5,1.3,1003
1/6/2004,6,4.3,1.1,779
1/7/2004,7,5.1,1.3,969
1/8/2004,8,5.5,1.4,960
1/9/2004,9,4.7,1.2,952
1/10/2004,10,4.8,1.2,917
1/11/2004,11,5.1,1.3,1059
1/12/2004,12,4.5,1.2,747
1/13/2004,13,4.4,1.2,875
1/14/2004,14,4.5,1.2,871
1/15/2004,15,3.7,1,684
1/16/2004,16,3.6,1,685
1/17/2004,17,3.9,1,782
1/18/2004,18,4.2,1,746
1/19/2004,19,3.8,1,782
1/20/2004,20,3.9,1,768
1/21/2004,21,3.9,0.9,715
1/22/2004,22,3.5,0.9,832
1/23/2004,23,4,1,709
1/24/2004,24,3.6,0.9,720
1/25/2004,25,3.7,1,285
1/26/2004,26,1.4,0.4,725
1/27/2004,27,3.7,1,726
1/28/2004,28,3.6,0.9,650
1/29/2004,29,3.6,1,699
1/30/2004,30,3.3,0.9,667
1/31/2004,31,3.7,0.9,746
2/1/2004,32,3.1,0.8,652
2/2/2004,33,3.3,0.8,674
2/3/2004,34,3,0.7,623
2/4/2004,35,3.2,0.8,681
2/5/2004,36,3.1,0.7,560
2/6/2004,37,3.1,0.7,598
2/7/2004,38,2.5,0.6,463
2/8/2004,39,0.5,0.1,99
2/9/2004,40,2.5,0.6,473
2/10/2004,41,2.2,0.5,440
2/11/2004,42,2.5,0.6,483
2/12/2004,43,2.4,0.6,423
2/13/2004,44,2.5,0.7,499
2/14/2004,45,2.4,0.6,493
2/15/2004,46,2.6,0.7,467
2/16/2004,47,2.9,0.7,548
2/17/2004,48,2.4,0.6,505
2/18/2004,49,2.8,0.7,551
2/19/2004,50,2.6,0.7,532
2/20/2004,51,3,0.8,583
2/21/2004,52,2.9,0.7,587
2/22/2004,53,2.9,0.8,522
2/24/2004,55,0.6,0.1,125
2/25/2004,56,2.4,0.6,440
2/26/2004,57,2.6,0.6,471
2/27/2004,58,2.4,0.6,421
2/28/2004,59,2.4,0.6,513
2/29/2004,60,2.4,0.6,489
3/1/2004,61,2.9,0.7,505
3/2/2004,62,2.6,0.7,471
3/3/2004,63,2.8,0.7,510
3/4/2004,64,2.6,0.6,490
3/5/2004,65,2.8,0.7,533
3/6/2004,66,2.6,0.6,495
3/7/2004,67,2.3,0.6,468
3/8/2004,68,2.5,0.6,473
3/10/2004,70,0.6,0.2,128
3/11/2004,71,2,0.6,403
3/12/2004,72,2.3,0.6,441
3/13/2004,73,0.3,0.6,49
3/14/2004,74,2,0.5,413
3/15/2004,75,2.1,0.5,414
3/17/2004,77,0.2,0,47
3/18/2004,78,2.2,0.5,420
3/19/2004,79,2.1,0.5,398
3/20/2004,80,1.6,0.4,293
3/21/2004,81,1.3,0.3,269
3/22/2004,82,1.6,0.3,345
3/23/2004,83,2.1,0.6,427
3/24/2004,84,1.8,0.4,385
3/26/2004,86,1.2,0.3,229
3/27/2004,87,2.1,0.5,424
3/28/2004,88,2.1,0.5,497
3/29/2004,89,2.2,0.6,434
3/30/2004,90,2,0.5,424
4/6/2004,97,0.1,0.5,30
4/7/2004,98,0.4,0.5,100
4/8/2004,99,1.7,0.5,307
4/9/2004,100,1.5,0.4,361
4/12/2004,103,3.2,0.5,287
4/16/2004,107,0.9,0.2,49
4/17/2004,108,0.2,0.2,269
4/19/2004,110,1.6,0.4,338
4/20/2004,111,1.9,0.5,346
4/21/2004,112,1.5,0.4,328
4/22/2004,113,2.2,0.6,407
4/23/2004,114,2.2,0.6,432
4/24/2004,115,1.3,0.4,229
4/26/2004,117,1.5,0.4,273
4/27/2004,118,0.3,0.4,65
4/28/2004,119,2.2,0.5,441
4/29/2004,120,2.8,0.7,482
4/30/2004,121,1.5,0.4,382
